gene	t
CTD-2369P2.8	42.77350716173802
CFTR	42.714384385923
FGA	42.507195530264916
MCEMP1	42.4843073525671
CXCL2	42.47097525423712
SNTB1	42.456023116939214
CTD-2600O9.1	42.43884161118152
LMO3	42.435448519251985
MPZL2	42.26604610410659
MMP24	42.18054193953559
METTL7B	42.14848840631208
ITGA3	42.08473683780922
FOLR1	41.958509861273285
ESYT3	41.95563251784944
STARD4	41.91846350922753
B3GNT6	41.77488737710197
LTK	41.76521048335825
U47924.6	41.7539139825007
GSTP1	41.695752616635005
TFPI	41.67234543921945
PTGS2	41.619821352856285
XKRX	41.61237322599412
USP44	41.515054276862045
RRAD	41.438827447344856
CEACAM6	41.388113365766955
PGC	41.296863257996144
BMP5	41.27367756576802
MSLN	41.10425782798131
LAMP3	41.08056022715568
TEC	41.00699793620698
CLDN18	40.81184310277273
PLA2G4E	40.776795480748945
RP11-528A4.2	40.75924841968244
VSTM2L	40.74061995669401
CFAP221	40.719644387291694
ZNF503-AS1	40.710186711278
TMPRSS4	40.50871661804286
BPIFA1	40.4919896315553
C7ORF57	40.47867257106647
SEC14L6	40.41341124354864
ADGRE5	40.39656386915641
RP11-630A13.4	40.39549579064178
DPY19L1	40.38631756763961
TARID	40.380572975688914
KLF5	40.31014476855727
RPS6KA3	40.30564514273003
BAAT	40.23886320751301
FUT3	40.163746135419366
SLC22A3	39.974620390375435
STK31	39.94300062175191
ABCC3	39.880374188695455
MYRF	39.76424334827491
FOXJ1	39.70900061955977
MYBPHL	39.34010358329615
XAGE1B	39.32144927485048
UXS1	39.29502656595864
NR0B2	39.237126340366984
ERN2	39.19087776104713
SPINK1	39.15581376171898
LINC00857	39.14222476899796
ABCC6P1	39.11721944189881
CXCL8	39.08821251885
ECEL1P2	39.067558515737275
CCDC68	38.973321134556834
DSTNP2	38.951953066698444
KPNA7	38.920962932261304
SGCA	38.91401884323599
SERPINB1	38.796601437038035
PLA2G12B	38.70502018077808
SULT1C2	38.616128844613144
B3GNT5	38.59180493254976
SERPIND1	38.511187340596535
SLC16A3	38.447511790632895
GKN2	38.358030671903826
CEACAM3	38.35452661632578
BTG3	38.32080928197257
HHLA2	38.3124062935771
AC017060.1	38.281124546601205
ACOXL	38.236049534380136
KHDRBS2	38.23006794859295
CTA-363E6.2	38.21474881188047
TSPAN8	38.18426178811528
MARCO	38.122057256642265
ST3GAL5	38.113813204617145
BANK1	37.90819669141505
SLC11A1	37.902953814334545
RHOBTB2	37.79834834989387
CEACAM4	37.7535710658823
SLC6A14	37.71578723412417
PTGER1	37.440415048834254
MFSD2A	37.40896566237927
PON3	37.40673958482178
FOXQ1	37.35836479138435
LZTS3	37.271677785729906
XAGE1A	37.23369441546084
PTCSC3	37.17219962993384
DRAM1	37.154306784808455
DNAH3	37.10447284111107
SLAIN1	37.10242851486065
ADGRF1	37.06220381052246
RP11-66N24.6	37.058706377285105
RP11-206P5.2	37.00538739303799
FAM83A	36.89363910970761
AC019117.2	36.87494574147755
TNNC1	36.865034112238135
MECOM	36.850271290140626
ALPP	36.71044487010273
RP11-254I22.3	36.705712981839156
LTA4H	36.606005744240626
ACPP	36.59527265354036
LAMB3	36.57259778547451
RP11-16E12.2	36.5559752497229
RP11-713M15.2	36.54240591670237
SGMS2	36.532854088647426
FAM216B	36.53000114294593
AQP3	36.49268885543062
RP3-407E4.4	36.36301073094332
ETS2	36.359624871206954
RP11-59D5__B.2	36.2739917617573
ANKDD1B	36.26853036380415
CD55	36.24726622438554
NYAP2	36.23936361759792
MFHAS1	36.15534863058477
CPM	36.10902377383649
ADGRD1	36.05977573982698
RAB27A	36.02890366000309
RILP	35.937228639137764
HNRNPA1P27	35.93411174891684
LHFPL3-AS2	35.675092456537946
RP11-62H7.2	35.66553414603275
CFI	35.56520834072831
DAPK1	35.46901541186577
SOAT1	35.43545695221222
RSPO2	35.424434891301175
PITPNM1	35.409211442768054
HABP2	35.40431324632669
AC026471.6	35.364766944663145
CDH15	35.30208520398687
FPR2	35.2406938335322
FERMT1	35.161367337349475
PPP1R1C	35.14082084567155
TP53I3	35.138540835994334
ASGR1	35.08727446009135
RP11-302F12.1	35.08260612760383
SCN1A	34.98848301321738
MIA2	34.9751275793985
HPGD	34.94879396077677
CNGB1	34.91124308520285
CYP24A1	34.871171979970974
FAM20A	34.85606859444678
PLEKHG7	34.83798476950406
EVA1A	34.822313618679715
CCL13	34.8100414943278
ABO	34.77562733791053
KCNK5	34.75367941524716
MUC3A	34.735682548378904
TNFRSF21	34.70178875953369
PLAC8	34.66294464079172
KRT16P3	34.63137884011086
ABCC4	34.48903438643856
PLA2G1B	34.487276676359464
C8ORF34-AS1	34.44945294163132
RP11-416I2.1	34.38803989967412
HAL	34.37654530001296
IL6R	34.358196025969356
TSPAN12	34.33264709000365
ADORA2B	34.31016655066964
SOX2	34.294693683149646
AC061992.2	34.2791135056775
CXCL5	34.265345825779924
CTSS	34.21775208580774
RP11-11N9.4	34.211951217073086
TKT	34.10464831246941
DPP4	34.09224844137424
RXFP1	34.02715004340771
C10ORF95	34.01551886057998
BIN1	34.00035915657858
ASCL5	33.97925661782261
AGTR2	33.94878474811632
TSPAN3	33.9378793631842
HP	33.937113602579686
CDH26	33.874852693812
MUC22	33.82193044791864
FAM83A-AS1	33.778497828951245
PLS3	33.75774517065231
MET	33.709753446947396
ATP10B	33.6802534798231
DNAH11	33.65357717433843
NRGN	33.58397542023424
MRC1	33.54028581595661
C16ORF89	33.53138545321908
TNFRSF10D	33.5130952921863
RP11-407N17.3	33.492985015911906
UCN3	33.4849618837453
AFAP1-AS1	33.4661375090742
TMEM236	33.46509151256488
HPCAL1	33.3662597720502
PRKCA	33.346288056927186
RP11-476D10.1	33.339918052299765
WSB1	33.321778599458305
ACE2	33.28848973311001
TMEM53	33.27561163088239
NPC2	33.25652704594081
S100A6	33.230542180191186
MBL1P	33.221175674703325
EPDR1	33.20736078354977
RP11-25K19.1	33.16841652090424
AC008697.1	33.166254042980256
