gene	t
RP5-1158E12.3	27.85008825024555
DCC	27.83903723590685
NOS1	27.834509007271652
STOML3	27.83116341232279
LPA	27.830727531070202
RP11-116G8.5	27.78814440017341
SDHAF3	27.76677535032101
JAG1	27.764781865726125
ASCL5	27.74684500321564
SLPI	27.746244357269077
KCNE3	27.732153052700884
CLCA2	27.730243764017388
FTL	27.71799447867732
PLD3	27.708267516561055
RP11-797A18.6	27.692434699827174
KRT16	27.687972768639924
AP2M1	27.682780780518964
TMEM41A	27.669127661992572
MAGEA4	27.665489613575026
AC046143.3	27.656638855342987
FAM131A	27.64570996749837
BTG4	27.64213934987667
ENTPD3	27.636017600510055
OSBPL3	27.62201498389162
BPIFA1	27.61281712227823
RP11-481J2.3	27.608251633182935
LBR	27.60824587784915
CHAC1	27.596697779467174
PIM1	27.583259455922644
DSC3	27.579091820659812
HES2	27.55784954600912
ERC2	27.554225184387885
RELT	27.54436723236192
PADI1	27.533284562761544
CXADR	27.527421375552223
VSNL1	27.51028768172008
AVPI1	27.504698134581705
LINC01234	27.502979619866625
RHBDF2	27.482952603806982
RP11-500C11.3	27.48032818018783
ZNF488	27.469128895903005
RP11-25H12.1	27.440837528244863
TTC7A	27.43855141613324
ESRRA	27.43501405944788
TUBA3FP	27.43112402584468
SHKBP1	27.407505265029517
RP11-434D9.2	27.40236970771702
CLTCL1	27.397356556478677
AC128709.2	27.39631431727277
LYN	27.392091218778642
GS1-257G1.1	27.388773643808605
YBX1P1	27.370402830801456
SLC12A6	27.365953584736022
PIR	27.361005271107555
EHHADH	27.352848129179957
RP11-403A3.3	27.344389592557416
FUT3	27.324272329701678
HIF1A-AS2	27.323639243723854
RP1-34M23.5	27.32211854915772
NFIL3	27.321110332626187
DRD5	27.319272062394393
NABP1	27.31241135134389
HEY1	27.29117357166457
AC129492.6	27.251267318525485
PHF5A	27.245596393108993
EDAR	27.214551744001042
PRKCI	27.192403663541036
TBPL1	27.17025780651056
CTD-2147F2.1	27.15004765687909
F11R	27.14319591492322
RP11-445O3.3	27.133431507574944
HPSE	27.120546702030353
SOST	27.11809871591751
PSMD2	27.106569435426117
BDNF	27.092843466068558
CTB-11I22.1	27.091425822055935
NRG4	27.08870323520107
ADAM23	27.08624473299277
RNF217	27.08087941496344
LINC00551	27.07773677306889
TMCC2	27.059328201470446
RP11-83M16.4	27.056540440913775
ZDHHC8	27.005929464192523
C6ORF183	27.000716564727593
PARL	26.980876422562478
RP11-528A4.2	26.97840287572172
SP8	26.963862198080818
HOPX	26.9627055250797
FGFR3	26.960199387943607
ATP2A2	26.938108267779555
FAM96B	26.932323277383556
UBE2E3	26.923080645480972
AGTR2	26.916261548147883
NIPAL4	26.903612159844535
AC008697.1	26.899525566741097
RPRM	26.89852108868015
LINC01572	26.886073775698232
RP11-396F22.1	26.878636775867616
GABRQ	26.85056796634246
INHBE	26.844742158061223
RP6-114E22.1	26.833811507276288
HNF4A	26.78983733759294
TOX2	26.78571045101767
MTFP1	26.785127353828123
DNAJB11	26.769296598992423
KCP	26.767893424094396
LTBR	26.763968801126712
GJA3	26.761286004237515
FAM83A	26.76000765670737
SPOCK3	26.745020810631676
SLC10A3	26.74247302720899
LTK	26.738293208966677
TARID	26.737810350175323
TUBA4A	26.717766130932947
RP11-83M16.6	26.716971950000772
MLK4	26.71398088967881
DLGAP1-AS2	26.710095451729156
ACTR3	26.7044259614706
ASB2	26.66364476709278
TTL	26.66228642544423
FAM84A	26.653593301456667
LDHB	26.653380811524457
CTC-251D13.1	26.650382901888214
RP11-114B7.6	26.6440052011039
GAST	26.62434026237132
SDC1	26.62308250278137
CES1	26.61788517144014
F3	26.602409860784714
NDRG4	26.595527339956305
GTPBP8	26.589821208320327
MALSU1	26.58096976391103
UCN2	26.557397036093178
RP11-476D10.1	26.553711277795667
DLX5	26.545742178748835
